x,MeanCluster6,MeanCluster5,MeanCluster4,MeanCluster3,MeanCluster2,MeanCluster1
0.499,0.24055,0.28129,0.190972,0.164975,0.101911111,0.0589
0.5,0.24185,0.28268,0.192076,0.1658625,0.102522222,0.0585
0.501,0.24305,0.28402,0.193144,0.1668625,0.1032,0.0588
0.502,0.24375,0.28527,0.194272,0.1680875,0.104011111,0.061
0.503,0.245,0.28643,0.195392,0.168975,0.104511111,0.0611
0.504,0.24615,0.28755,0.196432,0.1697,0.105133333,0.0608
0.505,0.247,0.28862,0.197404,0.1703,0.106044444,0.0607
0.506,0.24745,0.28984,0.19848,0.1714625,0.106711111,0.0614
0.507,0.2483,0.29092,0.199492,0.1725,0.107244444,0.0621
0.508,0.2495,0.29187,0.200452,0.173375,0.107733333,0.0627
0.509,0.2505,0.29326,0.201656,0.174025,0.108622222,0.0628
0.51,0.2516,0.29453,0.202692,0.1748625,0.109522222,0.0633
0.511,0.25255,0.29572,0.203688,0.1759,0.1103,0.0638
0.512,0.25275,0.29683,0.204792,0.1771125,0.110533333,0.0644
0.513,0.254,0.29801,0.205924,0.177825,0.111244444,0.0645
0.514,0.25515,0.2992,0.20704,0.1786375,0.112155556,0.0649
0.515,0.25585,0.3003,0.208164,0.1797375,0.113277778,0.0658
0.516,0.2571,0.30177,0.209192,0.1806875,0.113766667,0.066
0.517,0.25835,0.30307,0.210384,0.181725,0.114388889,0.0666
0.518,0.25955,0.30417,0.211704,0.182825,0.115277778,0.0676
0.519,0.2605,0.30535,0.212876,0.1836875,0.116322222,0.0677
0.52,0.2613,0.30674,0.214,0.18465,0.117022222,0.0681
0.521,0.26225,0.30825,0.215136,0.1856375,0.117622222,0.0687
0.522,0.26355,0.30952,0.216416,0.1866375,0.118455556,0.0691
0.523,0.26435,0.31077,0.217612,0.18765,0.119288889,0.069
0.524,0.26505,0.31199,0.218828,0.1886375,0.120111111,0.0693
0.525,0.26605,0.31315,0.220116,0.1896125,0.120933333,0.0708
0.526,0.26745,0.31445,0.221272,0.1907,0.121711111,0.0715
0.527,0.2686,0.31586,0.222468,0.19175,0.122544444,0.072
0.528,0.26945,0.31731,0.223696,0.1928125,0.123433333,0.0724
0.529,0.2702,0.31831,0.224916,0.1938,0.124322222,0.073
0.53,0.2714,0.31937,0.226124,0.1946375,0.125211111,0.0735
0.531,0.2726,0.3205,0.227332,0.1955375,0.126088889,0.0738
0.532,0.2733,0.32181,0.228532,0.1968625,0.1267,0.0744
0.533,0.27395,0.32312,0.229728,0.197925,0.127655556,0.0751
0.534,0.2749,0.32435,0.230968,0.198875,0.128677778,0.0759
0.535,0.2766,0.32545,0.2323,0.1999,0.129688889,0.0769
0.536,0.27735,0.32669,0.23354,0.2007875,0.130577778,0.0773
0.537,0.27805,0.328,0.234756,0.2018875,0.1314,0.0779
0.538,0.27875,0.32935,0.235992,0.203175,0.1322,0.0788
0.539,0.2799,0.33056,0.237516,0.20435,0.133466667,0.0796
0.54,0.28125,0.33187,0.239048,0.2054375,0.134555556,0.0801
0.541,0.2826,0.33324,0.240516,0.206475,0.135477778,0.0806
0.542,0.2832,0.33469,0.241828,0.207625,0.136377778,0.0813
0.543,0.2842,0.33623,0.243344,0.2090375,0.137744444,0.0825
0.544,0.28545,0.33764,0.244864,0.2104375,0.139111111,0.0836
0.545,0.28715,0.33875,0.246324,0.211475,0.140066667,0.0843
0.546,0.28815,0.34019,0.247916,0.2126875,0.141133333,0.085
0.547,0.289,0.34174,0.249488,0.213875,0.142311111,0.0859
0.548,0.2898,0.3433,0.250988,0.215075,0.143611111,0.0869
0.549,0.2913,0.3449,0.252632,0.2165875,0.144844444,0.0879
0.55,0.2928,0.34626,0.25428,0.2179625,0.146077778,0.0887
0.551,0.2942,0.34751,0.255916,0.2192,0.1473,0.0894
0.552,0.29505,0.3489,0.257516,0.2203875,0.148711111,0.091
0.553,0.29585,0.35037,0.259112,0.2217375,0.150033333,0.092
0.554,0.2968,0.35188,0.260736,0.223075,0.1513,0.0926
0.555,0.29815,0.35337,0.262472,0.224425,0.152588889,0.0936
0.556,0.29945,0.35481,0.264008,0.2257375,0.153877778,0.0948
0.557,0.30055,0.35614,0.26558,0.227025,0.1552,0.0959
0.558,0.30145,0.3573,0.26724,0.2283,0.156555556,0.097
0.559,0.3026,0.35873,0.268888,0.229675,0.157988889,0.0985
0.56,0.3037,0.36017,0.270576,0.231,0.159322222,0.0995
0.561,0.30465,0.36165,0.272244,0.232275,0.160644444,0.1001
0.562,0.30575,0.36298,0.273796,0.233625,0.162022222,0.1013
0.563,0.3069,0.36431,0.275452,0.2350625,0.163433333,0.1026
0.564,0.30815,0.36566,0.277156,0.2365,0.164877778,0.104
0.565,0.3092,0.36695,0.27886,0.2376875,0.166188889,0.105
0.566,0.31025,0.36831,0.280432,0.2389,0.167633333,0.1062
0.567,0.3113,0.36976,0.28204,0.2402,0.169111111,0.1074
0.568,0.31235,0.3714,0.28378,0.2416875,0.170555556,0.1087
