x,01_Soil,02_Dry_bush,03_Soil,04_Very_green_bush,05_Soil_with_crust,06_Soil_without_crust,07_Desert_pink_flowers,08_Brown_thorns,09_Very_dry_grass,10_Mix_of_soil_and_crust,11_Dense_desert_pink_flowers,12_Soil_with_crust,13_Rock_and_stones,14_Small_stones,15_Green-light_blue_bush,16_Very_dry_grass,17_Greenish_thorns,18_Bush,19_Sparse_dry_grass,20_Soil_with_crust,21_Acacia
0.4971 ,0.121233333,0.122200000,0.313233333,0.092266667,0.305266667,0.237775000,0.158800000,0.092833333,0.138166667,0.254700000,0.101800000,0.311233333,0.319750000,0.478775000,0.097733333,0.107033333,0.089033333,0.150625000,0.159100000,0.284433333,0.082800000
0.4985 ,0.122200000,0.122775000,0.315133333,0.092833333,0.307133333,0.239525000,0.159966667,0.093566667,0.139333333,0.256533333,0.102600000,0.313133333,0.321550000,0.480000000,0.098233333,0.107900000,0.089500000,0.151550000,0.160600000,0.286266667,0.083580000
0.4999 ,0.123233333,0.123400000,0.317266667,0.093466667,0.309166667,0.241425000,0.161266667,0.094300000,0.140600000,0.258600000,0.103433333,0.315266667,0.323550000,0.481350000,0.098800000,0.108833333,0.090033333,0.152500000,0.162166667,0.288200000,0.084420000
0.5013 ,0.124266667,0.124050000,0.319366667,0.094133333,0.311166667,0.243375000,0.162533333,0.095033333,0.141800000,0.260533333,0.104266667,0.317266667,0.325400000,0.482800000,0.099400000,0.109800000,0.090633333,0.153525000,0.163766667,0.290266667,0.085340000
0.5028 ,0.125366667,0.124750000,0.321633333,0.094833333,0.313300000,0.245350000,0.163933333,0.095866667,0.143133333,0.262566667,0.105100000,0.319366667,0.327375000,0.484275000,0.100133333,0.110800000,0.091333333,0.154525000,0.165466667,0.292366667,0.086340000
0.5042 ,0.126366667,0.125350000,0.323633333,0.095500000,0.315366667,0.247250000,0.165166667,0.096633333,0.144333333,0.264466667,0.105933333,0.321233333,0.329100000,0.485725000,0.100833333,0.111700000,0.092033333,0.155550000,0.167033333,0.294466667,0.087360000
0.5056 ,0.127266667,0.125900000,0.325566667,0.096133333,0.317100000,0.249000000,0.166266667,0.097300000,0.145400000,0.266233333,0.106700000,0.323033333,0.330775000,0.486925000,0.101566667,0.112566667,0.092733333,0.156425000,0.168500000,0.296266667,0.088420000
0.5070 ,0.128233333,0.126500000,0.327666667,0.096866667,0.319100000,0.250900000,0.167500000,0.098000000,0.146566667,0.268200000,0.107533333,0.325033333,0.332600000,0.488225000,0.102400000,0.113433333,0.093533333,0.157400000,0.170000000,0.298233333,0.089600000
0.5084 ,0.129233333,0.127100000,0.329733333,0.097600000,0.321033333,0.252700000,0.168700000,0.098666667,0.147733333,0.270133333,0.108366667,0.327000000,0.334500000,0.489500000,0.103333333,0.114333333,0.094366667,0.158350000,0.171466667,0.300133333,0.090840000
0.5098 ,0.130300000,0.127800000,0.332066667,0.098466667,0.323200000,0.254800000,0.170100000,0.099466667,0.149033333,0.272266667,0.109400000,0.329266667,0.336500000,0.491000000,0.104433333,0.115333333,0.095333333,0.159425000,0.173133333,0.302300000,0.092280000
