 x , Cluster6 , Cluster5 , Cluster4 , Cluster3 , Cluster2 , Cluster1 
0.6975,0.483969838,0.411747517,0.39755156,0.343167708,0.268818598,0.19518912
0.7,0.485967104,0.413572988,0.398920554,0.345066196,0.27032652,0.196569608
0.7025,0.487964092,0.415160045,0.400198959,0.347057148,0.271915548,0.198130225
0.705,0.489918576,0.416698839,0.401636766,0.349167242,0.273766081,0.199714429
0.7075,0.491706099,0.418510263,0.403565987,0.351268182,0.275776333,0.201128758
0.71,0.493373933,0.420663471,0.405758763,0.353179368,0.277717118,0.202399759
0.7125,0.495055802,0.423076349,0.407818759,0.354951763,0.279404702,0.20366678
0.715,0.496765873,0.425480593,0.409625288,0.356782668,0.280698037,0.204947513
0.7175,0.49842803,0.427484235,0.411267312,0.358677772,0.281697883,0.206166013
0.72,0.500002506,0.429119288,0.412828149,0.360375577,0.282717551,0.207265243
0.7225,0.501491904,0.43085872,0.41437887,0.361885146,0.283972415,0.20828645
0.725,0.502994429,0.432858039,0.415950127,0.363569407,0.285544801,0.209298859
0.7275,0.504741782,0.434786085,0.417515259,0.365490492,0.287240714,0.210340644
0.73,0.506761159,0.436475272,0.419069389,0.367164168,0.288413167,0.211397295
0.7325,0.508649397,0.438161548,0.420660103,0.368391483,0.28903082,0.212450156
0.735,0.510179563,0.440007005,0.422245775,0.369773982,0.290528002,0.213482855
0.7375,0.511768014,0.441828928,0.423514864,0.371628704,0.292978138,0.214464723
0.74,0.513755716,0.443422644,0.424279943,0.373456495,0.295188481,0.215315626
0.7425,0.515720159,0.44473978,0.425048973,0.374819918,0.296227259,0.215985058
0.745,0.517154446,0.44580348,0.426378969,0.376065173,0.296605093,0.216617678
0.7475,0.51819154,0.446823926,0.42808112,0.377662182,0.297168771,0.217381094
0.75,0.51917271,0.448043064,0.429736071,0.379268764,0.298039557,0.218184925
0.7525,0.52023053,0.449389997,0.431273731,0.380312203,0.29903566,0.218852507
