seed,run_index,parent_run_index,run_overrides,metric,dominance,sunsal,vpgdu,gbm,mlp,kan
3,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.138153,0.142577,0.136934,0.115185,0.118821
3,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.123158,0.127935,0.119804,0.135427,0.127943
3,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.143041,0.150406,0.141729,0.145676,0.151900
3,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044545,0.045311,0.044555,0.045564,0.045112
3,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044474,0.044860,0.044486,0.045307,0.045096
3,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044430,0.044904,0.044442,0.045363,0.045094
4,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.140534,0.143236,0.139212,0.122018,0.118707
4,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.106104,0.114246,0.101870,0.122514,0.118629
4,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.127294,0.136266,0.125580,0.144773,0.141336
4,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044493,0.044982,0.044505,0.045690,0.045122
4,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044354,0.044756,0.044367,0.045348,0.045120
4,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044460,0.044852,0.044467,0.045601,0.045105
0,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.176073,0.145465,0.169665,0.120067,0.120734
0,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.127180,0.117382,0.120643,0.127409,0.123968
0,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.168951,0.154387,0.161720,0.147188,0.149767
0,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045415,0.048247,0.045738,0.048722,0.046929
0,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045337,0.046790,0.045450,0.046785,0.046458
0,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045423,0.047733,0.045700,0.048255,0.046868
1,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.171747,0.143223,0.165324,0.116965,0.117316
1,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.127709,0.123820,0.120788,0.128006,0.133029
1,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.164391,0.139777,0.158143,0.147494,0.147742
1,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045375,0.048885,0.045685,0.046964,0.046355
1,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045346,0.046882,0.045502,0.046512,0.046034
1,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045281,0.047443,0.045552,0.046634,0.046184
2,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.177341,0.149525,0.171382,0.118219,0.122145
2,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.126806,0.117898,0.119546,0.115277,0.126561
2,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.165009,0.145119,0.159558,0.144507,0.144759
2,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045276,0.047911,0.045609,0.047270,0.046962
2,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045298,0.046770,0.045445,0.046698,0.046413
2,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045276,0.047394,0.045533,0.047057,0.046602
3,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.173851,0.152199,0.167640,0.121674,0.123193
3,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.131061,0.127744,0.126480,0.126016,0.133618
3,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.161590,0.144049,0.153624,0.141749,0.143147
3,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045308,0.048016,0.045600,0.047521,0.046325
3,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045325,0.046638,0.045425,0.046550,0.046315
3,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045310,0.047640,0.045600,0.047485,0.046517
4,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.174724,0.151103,0.168838,0.115916,0.118087
4,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.127947,0.125494,0.120436,0.132995,0.131106
4,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.161111,0.142686,0.155275,0.138091,0.142074
4,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045288,0.048145,0.045587,0.046731,0.046350
4,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045291,0.046819,0.045438,0.046350,0.046120
4,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045297,0.047532,0.045550,0.046507,0.046306
