run_index,parent_run_index,run_overrides,pixel_index,source,abundance_rmse,reconstruction_rmse,endmember_1,endmember_2,endmember_3,endmember_4,endmember_5,endmember_6
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",9795,vpgdu,0.041594,0.016819,0.010697,0.861431,0.000000,0.060474,0.000000,0.067399
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",1184,true,0.000000,0.013886,0.039362,0.001409,0.003647,0.326290,0.253017,0.376276
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",1184,gbm,0.013537,0.013889,0.023204,0.000038,0.000042,0.353073,0.256910,0.366734
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",1184,kan,0.025453,0.017440,0.021936,0.036521,0.035191,0.323480,0.241427,0.341445
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",1184,mlp,0.064465,0.017269,0.046358,0.013018,0.029338,0.214251,0.218904,0.478131
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",1184,sunsal,0.014122,0.013881,0.024864,-0.000157,-0.000162,0.354874,0.256224,0.364356
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",1184,vpgdu,0.018633,0.014099,0.028429,0.000000,0.012739,0.334571,0.220520,0.403742
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",7993,true,0.000000,0.014056,0.001189,0.609965,0.133754,0.000872,0.000000,0.254221
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",7993,gbm,0.037283,0.014062,0.019905,0.546020,0.186063,0.021200,0.000000,0.226812
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",7993,kan,0.081695,0.020927,0.105104,0.545618,0.133253,0.041848,0.060533,0.113644
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",7993,mlp,0.137253,0.024067,0.137316,0.462158,0.153430,0.157992,0.047722,0.041381
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",7993,sunsal,0.037394,0.014045,0.020235,0.547574,0.186583,0.021919,-0.000529,0.224218
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",7993,vpgdu,0.055449,0.014650,0.000341,0.587259,0.104078,0.073850,0.066053,0.168419
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",3235,true,0.000000,0.017024,0.000062,0.512608,0.031266,0.004055,0.036125,0.415885
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",3235,gbm,0.087540,0.016435,0.006067,0.435968,0.000248,0.188194,0.024868,0.344655
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",3235,kan,0.021160,0.016083,0.019082,0.498789,0.018137,0.042006,0.015184,0.406801
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",3235,mlp,0.200943,0.024520,0.215579,0.170163,0.031825,0.248494,0.054004,0.279935
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",3235,sunsal,0.115749,0.014627,0.000528,0.433931,-0.000353,0.230881,0.063946,0.271067
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",3235,vpgdu,0.046686,0.023545,0.000000,0.462215,0.000000,0.088837,0.000188,0.448760
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",5911,true,0.000000,0.017384,0.149768,0.083240,0.472957,0.001274,0.000011,0.292751
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",5911,gbm,0.323872,0.014540,0.000568,0.265658,0.000436,0.309724,0.416750,0.006864
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",5911,kan,0.074535,0.014682,0.085063,0.108797,0.434949,0.114913,0.063834,0.192443
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",5911,mlp,0.175723,0.015547,0.126015,0.111235,0.244478,0.167454,0.255336,0.095482
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",5911,sunsal,0.326595,0.014434,-0.001291,0.272134,0.000119,0.310956,0.419151,-0.001070
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",5911,vpgdu,0.224398,0.017174,0.047479,0.179217,0.139349,0.250109,0.274783,0.109063
