seed,run_index,parent_run_index,run_overrides,metric,sunsal,vpgdu,gbm,mlp,kan
3,7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014115,0.014587,0.014127,0.016648,0.016551
4,7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.055384,0.079654,0.055252,0.096140,0.071653
4,7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014064,0.018667,0.014079,0.017468,0.016313
0,8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.119621,0.081793,0.112637,0.083226,0.076401
0,8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014392,0.018677,0.015028,0.018679,0.018870
1,8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.121658,0.081380,0.115071,0.096963,0.074370
1,8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014408,0.018660,0.015004,0.019395,0.017555
2,8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.122130,0.079612,0.115448,0.074493,0.073879
2,8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014417,0.018708,0.015036,0.017814,0.018053
3,8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.124415,0.085134,0.117569,0.100337,0.079719
3,8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014447,0.020592,0.015149,0.017976,0.018663
4,8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.120954,0.082539,0.113981,0.095502,0.075663
4,8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014400,0.020246,0.015057,0.018381,0.018012
0,9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.057424,0.076577,0.057182,0.098126,0.075834
0,9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014073,0.014320,0.014086,0.016508,0.016452
1,9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.057677,0.075020,0.057649,0.079778,0.072840
1,9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014078,0.014322,0.014093,0.016432,0.016636
2,9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.061166,0.075176,0.060896,0.079870,0.073696
2,9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014052,0.014305,0.014066,0.016318,0.016097
3,9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.059692,0.077161,0.059477,0.088428,0.078171
3,9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014069,0.014302,0.014081,0.016062,0.016122
4,9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.058083,0.073270,0.057835,0.084534,0.074953
4,9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014051,0.014277,0.014063,0.016558,0.015874
0,10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.132202,0.087364,0.124303,0.095853,0.078077
0,10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014459,0.020905,0.015206,0.019112,0.018813
1,10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.130726,0.086436,0.122804,0.082554,0.077745
1,10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014441,0.020779,0.015210,0.017553,0.018797
2,10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.131363,0.089250,0.124660,0.088873,0.077372
2,10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014420,0.021794,0.015124,0.019049,0.017615
3,10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.128488,0.092265,0.121101,0.098106,0.081957
3,10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014435,0.024923,0.015241,0.018427,0.018238
4,10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.131348,0.085065,0.124234,0.083292,0.077310
4,10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014423,0.021896,0.015146,0.018087,0.017733
0,11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.070520,0.084707,0.070210,0.098817,0.071004
0,11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014009,0.015945,0.014027,0.014830,0.015297
1,11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.068911,0.076295,0.068591,0.103535,0.074254
1,11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014043,0.014276,0.014059,0.015160,0.015514
2,11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.068398,0.079796,0.068073,0.081285,0.071889
2,11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014024,0.014307,0.014041,0.014877,0.015077
3,11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.069515,0.080695,0.069159,0.103228,0.073865
3,11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014008,0.014224,0.014024,0.015145,0.016010
4,11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.069773,0.076848,0.069370,0.101487,0.074391
4,11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014027,0.014264,0.014043,0.014668,0.015079
0,12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.151039,0.090936,0.142463,0.102039,0.072002
0,12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014445,0.020490,0.015386,0.018262,0.018527
1,12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.152884,0.091595,0.143598,0.076835,0.075504
1,12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014479,0.020539,0.015473,0.017975,0.018612
2,12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.147605,0.092331,0.139604,0.103300,0.075158
2,12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014463,0.020313,0.015360,0.018608,0.017385
3,12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.150063,0.091554,0.141804,0.101884,0.077757
3,12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014438,0.020282,0.015360,0.018411,0.019223
4,12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.148928,0.093898,0.140065,0.103271,0.075182
4,12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.014452,0.022231,0.015417,0.017164,0.018585
0,13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.004943,0.050113,0.005471,0.087079,0.029957
0,13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000022,0.001283,0.000476,0.009136,0.005905
1,13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.005019,0.053208,0.005528,0.079248,0.027371
1,13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000022,0.001709,0.000476,0.009614,0.005809
2,13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.004941,0.055650,0.005388,0.082912,0.030004
2,13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000022,0.010023,0.000486,0.008900,0.006121
3,13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.005204,0.052717,0.005675,0.080862,0.037614
3,13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000023,0.007086,0.000464,0.008471,0.007966
4,13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.005080,0.060995,0.005493,0.089550,0.024276
4,13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.000022,0.011057,0.000472,0.009231,0.005276
0,14,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.114071,0.072171,0.104950,0.086084,0.031967
0,14,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.001714,0.012321,0.004890,0.012255,0.009596
1,14,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.116087,0.064336,0.106602,0.065615,0.031386
