run_index,cluster_set,normalization,transform,snr_db,model,sample_index,true_a1,true_a2,true_a3,true_a4,true_a5,true_a6,est_a1,est_a2,est_a3,est_a4,est_a5,est_a6
2,6clusters_thomas,with_quadratic,first_derivative,50.0,sunsal,7,0.12644947495202136,0.43156474457102456,0.1021652633637879,0.023986093176957,0.2609531367482708,0.05488128718793833,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,sunsal,8,0.04798161268462074,0.014918857899824773,0.14785257573614832,0.13328807411467,0.1642673642637911,0.49169151530094507,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,sunsal,9,0.08273380450524224,0.3699467977089489,0.07241077125344995,0.3222706426056044,0.05777282263192212,0.09486516129483252,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,vpgdu,0,0.031500284844359704,0.05306993937103074,0.12455408177476243,0.17161460337881282,0.2942736458159889,0.32498744481504543,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,vpgdu,1,0.0667871599614815,0.0470629504716139,0.13638492604543964,0.1551364483433614,0.4984447056755937,0.09618380950250995,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,vpgdu,2,0.09548443604479538,0.11004212527667133,0.04555072396199809,0.2872913225917261,0.17020708002531829,0.29142431209949077,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,vpgdu,3,0.017244179158752565,0.035628334801358894,0.02034178446997905,0.14435828870088283,0.42683618275294233,0.35559123011608434,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,vpgdu,4,0.15470630438012392,0.21794321171474637,0.19171610050048946,0.22662592295888248,0.10945391068736632,0.09955454975839147,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,vpgdu,5,0.03972769079906049,0.06933204062287247,0.2544780103506358,0.15549759771521668,0.3494489946046344,0.13151566590758007,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,vpgdu,6,0.051488634160150565,0.14633525932590946,0.4861947307557564,0.1315710205612085,0.14344389409653527,0.04096646110043983,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,vpgdu,7,0.12644947495202136,0.43156474457102456,0.1021652633637879,0.023986093176957,0.2609531367482708,0.05488128718793833,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,vpgdu,8,0.04798161268462074,0.014918857899824773,0.14785257573614832,0.13328807411467,0.1642673642637911,0.49169151530094507,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
